method.name	dataset.name	sample.id	Pearson	Spearman	RMSE
Aboensis IV	AA	ISFRA1	0.394913403217889	0.619047619047619	0.820740175662053
Aboensis IV	AA	ISFRA10	0.471499903059023	0.952380952380953	1.21876715061944
Aboensis IV	AA	ISFRA11	0.882004783631735	0.880952380952381	1.66089858143478
Aboensis IV	AA	ISFRA12	0.136585594050535	0.452380952380952	0.776449225860644
Aboensis IV	AA	ISFRA13	0.313534448335412	0.523809523809524	0.775726280035521
Aboensis IV	AA	ISFRA14	0.0437573880185425	-0.0238095238095238	1.02303999166995
Aboensis IV	AA	ISFRA15	0.561174419340263	0.904761904761905	0.752465990294356
Aboensis IV	AA	ISFRA2	0.44257349747827	0.333333333333333	0.752018446052033
Aboensis IV	AA	ISFRA3	0.454073956962415	0.333333333333333	0.864339607608895
Aboensis IV	AA	ISFRA4	0.688198018866986	0.610789393575762	1.5145980140679
Aboensis IV	AA	ISFRA5	-0.366150390161054	-0.19047619047619	0.781916733436981
Aboensis IV	AA	ISFRA6	0.30300358733237	0.571428571428572	0.963728334802298
Aboensis IV	AA	ISFRA7	0.433331659924725	0.380952380952381	0.669139924148787
Aboensis IV	AA	ISFRA8	0.805385678204649	0.357142857142857	1.62533465081239
Aboensis IV	AA	ISFRA9	0.625359925688862	0.80952380952381	0.811928264534419
Aboensis IV	AA	ISFRB1	0.41766726672548	0.666666666666667	1.9625120274907
Aboensis IV	AA	ISFRB10	0.408380947111511	0.833333333333333	1.66875562277015
Aboensis IV	AA	ISFRB11	0.798275165521882	0.928571428571429	1.27234480135239
Aboensis IV	AA	ISFRB12	0.00257440784575694	0.214285714285714	2.00278262721139
Aboensis IV	AA	ISFRB13	0.462000716535638	0.595238095238095	2.00561306869993
Aboensis IV	AA	ISFRB14	0.555097037518952	0.833333333333333	4.52215041912207
Aboensis IV	AA	ISFRB15	0.688214106745481	0.761904761904762	1.15177907618872
Aboensis IV	AA	ISFRB2	0.611136082732057	0.523809523809524	1.59605794298363
Aboensis IV	AA	ISFRB3	0.164011573047162	0.857142857142857	2.28027669228035
Aboensis IV	AA	ISFRB4	-0.0449154797279955	0.214285714285714	2.72384425697801
Aboensis IV	AA	ISFRB5	0.0083509756446779	0.0714285714285714	2.06637453161549
Aboensis IV	AA	ISFRB6	0.299839806657794	0.19047619047619	1.31351729452772
Aboensis IV	AA	ISFRB7	0.576857000798237	0.666666666666667	1.56454390707211
Aboensis IV	AA	ISFRB8	0.536310172491383	0.523809523809524	1.48646556157318
Aboensis IV	AA	ISFRB9	0.913401001971081	0.880952380952381	1.236548794434
Aboensis IV	AB	ISFRA1	0.72250589705495	0.547619047619048	1.38287782991608
Aboensis IV	AB	ISFRA10	0.201259995043097	0.30952380952381	0.728112016621841
Aboensis IV	AB	ISFRA11	0.872203364728111	0.857142857142857	1.05705956878387
Aboensis IV	AB	ISFRA12	0.483156094680924	0.32335909071658	1.06884678892952
Aboensis IV	AB	ISFRA13	0.764912155720505	0.761904761904762	0.988915426999496
Aboensis IV	AB	ISFRA14	0.402421279677242	0.404761904761905	0.763685882472199
Aboensis IV	AB	ISFRA15	0.577791334243339	0.619047619047619	1.0374590800656
Aboensis IV	AB	ISFRA2	0.626710020460566	0.428571428571429	1.12875432585581
Aboensis IV	AB	ISFRA3	0.196668819555263	0.476190476190476	0.785235420620615
Aboensis IV	AB	ISFRA4	0.597808480914814	0.761904761904762	1.01706032892888
Aboensis IV	AB	ISFRA5	0.426491107102061	0.761904761904762	0.710579541471561
Aboensis IV	AB	ISFRA6	0.773558020750024	0.595238095238095	0.707457499780964
Aboensis IV	AB	ISFRA7	0.794196543122395	0.80952380952381	0.895225217586643
Aboensis IV	AB	ISFRA8	0.257969752371742	0.476190476190476	0.920244024498836
Aboensis IV	AB	ISFRA9	0.545014746052012	0.547619047619048	1.1769958760238
Aboensis IV	AB	ISFRB1	0.725814920530008	0.857142857142857	6.27657949719721
Aboensis IV	AB	ISFRB10	0.698480498194308	0.976190476190476	6.41960565688546
Aboensis IV	AB	ISFRB11	0.679794728341156	0.619047619047619	1.57709397589083
Aboensis IV	AB	ISFRB12	-0.173102812936902	-0.0714285714285714	1.64431683808305
Aboensis IV	AB	ISFRB13	0.116463228576143	0.59881313095663	2.31550588186581
Aboensis IV	AB	ISFRB14	0.366374878791427	0.547619047619048	1.47412390415936
Aboensis IV	AB	ISFRB15	-0.012880464604586	-0.0238095238095238	1.63070204347064
Aboensis IV	AB	ISFRB2	0.337347259118798	0.761904761904762	1.21238035402511
Aboensis IV	AB	ISFRB3	0.360757183387032	0.666666666666667	1.89705629643355
Aboensis IV	AB	ISFRB4	0.805078793956405	0.785714285714286	1.36685969135591
Aboensis IV	AB	ISFRB5	0.239864645216711	0.738095238095238	2.09436379504527
Aboensis IV	AB	ISFRB6	0.593603453636109	0.5	1.4787773493189
Aboensis IV	AB	ISFRB7	0.340611487646797	0.761904761904762	3.86209697336574
Aboensis IV	AB	ISFRB8	0.336335828020998	0.452380952380952	1.96348629488986
Aboensis IV	AB	ISFRB9	0.368232506110784	0.476190476190476	1.29012144767262
Aboensis IV	AE	ISFB1A1	0.464045378457252	0.738095238095238	0.956864959929929
Aboensis IV	AE	ISFB1A2	0.414258690230556	0.761904761904762	0.980796643071653
Aboensis IV	AE	ISFB1A3	0.344104319980414	0.19047619047619	1.03981791189051
Aboensis IV	AE	ISFB1A4	0.47957571269104	0.690476190476191	1.07374183878976
Aboensis IV	AE	ISFB1B1	0.531880517324207	0.404761904761905	1.27674167632992
