method.name	dataset.name	sample.id	Pearson	Spearman	RMSE
Aboensis IV	AA	ISFRA1	0.834199363494855	0.698762696808527	0.977303022339985
Aboensis IV	AA	ISFRA10	0.704025862315076	0.698762696808527	1.1953308071972
Aboensis IV	AA	ISFRA11	0.944992516224955	0.703296703296703	1.33397113863993
Aboensis IV	AA	ISFRA12	0.609460842542174	0.741758241758242	0.801594079317705
Aboensis IV	AA	ISFRA13	0.454566122591974	0.192307692307692	0.976028956386985
Aboensis IV	AA	ISFRA14	0.85006037026414	0.862637362637363	0.938534297878461
Aboensis IV	AA	ISFRA15	0.427284270392867	0.43956043956044	1.03597592513286
Aboensis IV	AA	ISFRA2	0.809613362726577	0.787881777516989	0.881507970560143
Aboensis IV	AA	ISFRA3	0.477475275784013	0.516483516483517	0.992114554549823
Aboensis IV	AA	ISFRA4	0.955774647085281	0.730769230769231	1.15176982256059
Aboensis IV	AA	ISFRA5	0.606202510832744	0.604395604395604	0.818589961351702
Aboensis IV	AA	ISFRA6	0.713945842366751	0.613480635387013	1.05714228057644
Aboensis IV	AA	ISFRA7	0.808584293796828	0.697802197802198	0.741775035285752
Aboensis IV	AA	ISFRA8	0.942480472725674	0.795048895187654	1.40078162603645
Aboensis IV	AA	ISFRA9	0.787590765428271	0.478021978021978	1.14689956684076
Aboensis IV	AA	ISFRB1	0.635456138201768	0.32967032967033	1.69212052717266
Aboensis IV	AA	ISFRB10	0.59993888687625	0.825310271821094	1.81293143402428
Aboensis IV	AA	ISFRB11	0.491504364517278	0.532967032967033	1.20153788412232
Aboensis IV	AA	ISFRB12	0.400684120315873	0.824175824175824	1.64452954396402
Aboensis IV	AA	ISFRB13	0.316902650733568	0.55020684788073	1.65046490166103
Aboensis IV	AA	ISFRB14	0.865840550731688	0.527472527472527	3.63304565471967
Aboensis IV	AA	ISFRB15	0.578812655063163	0.615384615384615	1.19865820950076
Aboensis IV	AA	ISFRB2	0.671778446810513	0.637362637362637	1.4644171675725
Aboensis IV	AA	ISFRB3	0.247140652522392	0.571428571428571	1.96421667245402
Aboensis IV	AA	ISFRB4	0.420295231228299	0.686813186813187	2.23173969588174
Aboensis IV	AA	ISFRB5	0.371513436653356	0.662999251696279	1.84694191567106
Aboensis IV	AA	ISFRB6	0.287210731345698	0.269601355461557	1.22153725839333
Aboensis IV	AA	ISFRB7	0.852049317064116	0.912087912087912	1.53578443322515
Aboensis IV	AA	ISFRB8	0.742288269067169	0.521978021978022	1.4431513461439
Aboensis IV	AA	ISFRB9	0.507124430817477	0.417582417582418	1.46262158971043
Aboensis IV	AB	ISFRA1	0.887409110369816	0.598901098901099	1.19190465160376
Aboensis IV	AB	ISFRA10	0.650450267606934	0.767538552793618	0.73730207695205
Aboensis IV	AB	ISFRA11	0.823982799642398	0.692307692307692	0.991467602562317
Aboensis IV	AB	ISFRA12	0.883153230051851	0.884615384615385	1.03987109426203
Aboensis IV	AB	ISFRA13	0.820223662436908	0.685953016089966	0.969210609702803
Aboensis IV	AB	ISFRA14	0.434591162886305	0.758241758241758	0.777003165096765
Aboensis IV	AB	ISFRA15	0.723791740411564	0.697802197802198	0.955178491641146
Aboensis IV	AB	ISFRA2	0.867930952346189	0.56043956043956	1.07154618503916
Aboensis IV	AB	ISFRA3	0.12278111272339	0.236263736263736	0.813822971198495
Aboensis IV	AB	ISFRA4	0.834708393058101	0.839065443018113	0.90811161366591
Aboensis IV	AB	ISFRA5	0.917858001696694	0.877579922369764	0.846891356310306
Aboensis IV	AB	ISFRA6	0.843026287781058	0.879120879120879	0.750906729573285
Aboensis IV	AB	ISFRA7	0.836690031073785	0.906593406593407	0.913669173015348
Aboensis IV	AB	ISFRA8	0.678863870702354	0.846153846153846	0.85670577907952
Aboensis IV	AB	ISFRA9	0.701463662749114	0.774725274725275	1.09580826257809
Aboensis IV	AB	ISFRB1	0.714177063735029	0.373626373626374	5.01202233708386
Aboensis IV	AB	ISFRB10	0.791214010418795	0.5281985739655	5.20429691850149
Aboensis IV	AB	ISFRB11	0.860008717026906	0.587912087912088	1.42424061120636
Aboensis IV	AB	ISFRB12	0.217580609399242	0.423076923076923	1.59081643785568
Aboensis IV	AB	ISFRB13	0.490590650317709	0.494505494505495	2.31181923304955
Aboensis IV	AB	ISFRB14	0.358247847377957	0.467032967032967	1.45090195886155
Aboensis IV	AB	ISFRB15	0.352072584916073	0.648351648351648	1.6011408519496
Aboensis IV	AB	ISFRB2	0.812170311495542	0.82967032967033	1.55842550250172
Aboensis IV	AB	ISFRB3	0.361089593012594	0.434065934065934	1.94950583819452
Aboensis IV	AB	ISFRB4	0.612430973600048	0.366392574859299	1.77767948728096
Aboensis IV	AB	ISFRB5	0.290731759378717	0.598901098901099	2.00824668849728
Aboensis IV	AB	ISFRB6	0.7153425743523	0.629986840823435	1.46099686328499
Aboensis IV	AB	ISFRB7	0.572507950692936	0.769230769230769	3.14505374305973
Aboensis IV	AB	ISFRB8	0.612999968076807	0.78021978021978	1.99216901015739
Aboensis IV	AB	ISFRB9	0.673741135491723	0.664835164835165	1.39895101966554
Aboensis IV	AE	ISFB1A1	0.035003517333345	0.335164835164835	1.15927428881071
Aboensis IV	AE	ISFB1A2	0.604890801709234	0.60989010989011	1.05621276711121
Aboensis IV	AE	ISFB1A3	0.839397930343612	0.357142857142857	0.936549782440821
Aboensis IV	AE	ISFB1A4	0.411522578942445	0.697802197802198	1.03266203092452
Aboensis IV	AE	ISFB1B1	0.625445069257127	0.412087912087912	1.34212394292864
Aboensis IV	AE	ISFB1B2	0.391302588357013	0.263736263736264	1.10265105765765
Aboensis IV	AE	ISFB1B3	0.458243700291534	0.714285714285714	1.84398214091926
Aboensis IV	AE	ISFB1B4	0.443047469617486	0.582417582417582	1.39006864110285
Aboensis IV	AE	ISFB2A1	0.640296214694231	0.450549450549451	0.809231658297128
Aboensis IV	AE	ISFB2A2	0.321298394033337	0.637362637362637	1.07973911006784
Aboensis IV	AE	ISFB2A3	0.400642599126004	0.675824175824176	1.17689843703989
Aboensis IV	AE	ISFB2A4	0.691856888501858	0.71978021978022	0.963306184630166
Aboensis IV	AE	ISFB2B1	0.439847896024234	0.571428571428571	1.47710416079279
Aboensis IV	AE	ISFB2B2	0.815987807928088	0.659340659340659	1.71143273776073
Aboensis IV	AE	ISFB2B3	0.523722804615266	0.675824175824176	2.17290544424286
Aboensis IV	AE	ISFB2B4	0.682768571821777	0.653846153846154	1.30396664504631
Aboensis IV	AE	ISFB3A1	0.689059481732588	0.543956043956044	0.965827232253122
Aboensis IV	AE	ISFB3A2	0.604521335122	0.708791208791209	1.0226826878052
Aboensis IV	AE	ISFB3A3	0.133692698014097	0.483516483516484	1.15459401066492
Aboensis IV	AE	ISFB3A4	0.429774800873725	0.785714285714286	1.02083908422782
Aboensis IV	AE	ISFB3B1	0.589030247727196	0.769230769230769	1.30851322488953
Aboensis IV	AE	ISFB3B2	0.368980437980606	0.675824175824176	1.62383479037683
Aboensis IV	AE	ISFB3B3	0.427166190075916	0.736263736263736	1.50516478328927
Aboensis IV	AE	ISFB3B4	0.608476004850091	0.67032967032967	1.7166974236046
Aboensis IV	AE	ISFB4A1	0.686449617243713	0.697802197802198	0.783726915678029
Aboensis IV	AE	ISFB4A2	0.582983872976003	0.620879120879121	1.14506054998177
Aboensis IV	AE	ISFB4A3	0.33408539735203	0.258241758241758	1.08753581709857
Aboensis IV	AE	ISFB4A4	0.0430976746366941	0.582417582417582	1.09507879357911
Aboensis IV	AE	ISFB4B1	0.466762445236298	0.230769230769231	1.3114987254998
Aboensis IV	AE	ISFB4B2	0.608499347797203	0.554945054945055	1.44439789127537
Aboensis IV	AE	ISFB4B3	0.55142410463719	0.291208791208791	1.27746276222966
Aboensis IV	AE	ISFB4B4	0.85849009772126	0.752747252747253	1.79445885072763
Aboensis IV	AE	ISFB5A1	0.0337522205984696	0.412087912087912	1.15876001779329
Aboensis IV	AE	ISFB5A2	0.703379671962859	0.769230769230769	0.760751734072687
Aboensis IV	AE	ISFB5A3	0.501918038717701	0.43956043956044	1.02759575520682
Aboensis IV	AE	ISFB5A4	0.61136260851378	0.659340659340659	1.16721079527188
Aboensis IV	AE	ISFB5B1	0.716117232666686	0.862637362637363	1.47978073547926
Aboensis IV	AE	ISFB5B2	0.759831920301964	0.582417582417582	0.966319077213479
Aboensis IV	AE	ISFB5B3	0.774829456655598	0.763736263736264	1.39126823350882
Aboensis IV	AE	ISFB5B4	0.544738538307314	0.615384615384615	2.02760334176945
Aboensis IV	AF	ISFB1A1	0.655673326665033	0.571428571428571	1.05511337755547
Aboensis IV	AF	ISFB1A2	0.518810006191961	0.813186813186813	0.811878605703454
