BioProject,SampleID,CellType,CellType_ExtaInfo,Sequencing,Coarse,Fine
PRJNA540256,SRR8984503,Macrophages-M1,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984504,Macrophages-M1,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984505,Macrophages-M1,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984506,Macrophages-M2,Ctrl,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984507,Macrophages-M2,Ctrl,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984508,Macrophages-M2,Ctrl,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984509,Macrophages-M2,Ctrl,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984510,Macrophages-M2,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984511,Macrophages-M2,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984512,Macrophages-M2,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984513,Macrophages-M2,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984514,Macrophages-M2,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA540256,SRR8984515,Macrophages-M2,Endo,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961488,macrophages,human,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961489,macrophages,human,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961490,macrophages,human-ABserum,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961491,macrophages,human-ABserum,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961492,macrophages,human-ABserum,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961493,macrophages,human-ABserum,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961494,macrophages,human,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961495,macrophages,human,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961496,macrophages,human,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA559359,SRR9961497,macrophages,human,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA562113,SRR10160734,Colon,Cancer-Primary,BulkPairedEnds,CRC,CRC
PRJNA562113,SRR10160735,Colon,Cancer-Primary,BulkPairedEnds,CRC,CRC
PRJNA562113,SRR10160736,Colon,Cancer-Primary,BulkPairedEnds,CRC,CRC
PRJNA598222,SRR10806698,Breast,Cancer-Primary,BulkPairedEnds,BRCA,BRCA
PRJNA598222,SRR10806701,Breast,Cancer-Primary,BulkPairedEnds,BRCA,BRCA
PRJNA598222,SRR10806703,Breast,Cancer-Primary,BulkPairedEnds,BRCA,BRCA
PRJNA598222,SRR10806706,Breast,Cancer-Primary,BulkPairedEnds,BRCA,BRCA
